Wavelength,Intensity
685,0.0
686,0.010498582221715059
687,0.0
688,0.008645397882502456
689,0.009216292439741801
690,0.0
691,0.0
692,0.0001751785982024448
693,0.026927664282189817
694,0.018711612941608616
695,0.0
696,0.009310654516526119
697,0.0
698,0.0
699,0.006583079396849268
700,0.0
701,0.0
702,0.0004047263435938386
703,0.018381146054014565
704,0.02117733661708401
705,0.0
706,0.0
707,0.011874962302535798
708,0.0
709,0.017593834612207537
710,0.0004227757857985421
711,0.0
712,0.0
713,0.0003016012673074469
714,6.809605804020168e-07
715,0.0
716,0.01005659548695171
717,0.0
718,0.008807861305011076
719,0.009501054596543
720,0.0
721,0.0
722,0.0
723,0.0029129407138569663
724,0.0
725,0.0
726,0.014041768421776162
727,0.01906608053375616
728,0.0
729,0.005517577138630178
730,0.0
