Wavelength,Intensity
548,0.0
549,0.0
550,0.0
551,0.004688888820036351
552,0.016099874309928097
553,0.02707796165588239
554,0.02144647309161085
555,0.0018690482850083035
556,0.0
557,0.004468385595907983
558,0.0
559,0.0
560,0.0
561,0.0
562,0.002864056523795002
563,0.0
564,0.013648023840624041
565,0.0
566,0.0
567,0.0
568,0.0
569,0.01961354213498649
570,0.0
571,0.0010472290717398456
572,0.0
573,0.011429834909096161
574,0.008217690192759008
575,0.0028381724365735585
576,0.0
577,0.0008947853432338717
578,0.00046923304291005463
579,0.017214990269793673
580,0.0023065617468524236
581,0.0
582,0.0
583,0.016952538331136885
584,0.01121635878812598
585,0.0
586,0.025186320449411645
587,0.0
588,0.0
589,0.0
590,0.017977675516507093
591,0.004886674927944619
592,0.0
593,0.0
594,0.014640077364717577
595,0.0
596,0.0
597,0.0
598,0.0
599,0.0
600,0.01358081494207726
601,0.000895413816535569
602,0.0
603,0.006980934513266417
604,0.00914893429549116
605,0.0
606,0.012601279413170524
607,0.0
608,0.0009995274198919951
609,0.030655832340151026
610,0.0
611,0.011850564349850925
612,0.009998757057540301
613,0.011603510411639359
614,0.0009292385635045627
615,0.014005880930629735
616,0.0204436707251219
617,0.006046280965673274
618,0.015250889514987197
619,0.0
620,0.0039083057812488164
621,0.0
622,0.0
623,0.0057761801943203815
624,0.0
625,0.02238815567734778
626,0.0
627,0.0
628,0.016692150447119015
629,0.026535197814321503
630,0.0
631,0.000625349489831485
632,0.0
633,0.0
634,0.002367061497448515
635,0.015634990889807347
636,0.027708891248257157
637,0.0
638,0.021966136535155233
639,0.011071251428307678
640,0.0005557459640382594
641,0.0
642,0.02060316568421648
643,0.021302824797505913
644,0.009640689199801641
645,0.013570991529880571
646,0.012748945294715305
647,0.0
648,0.0
649,0.028298084064681577
650,0.0025833480538243374
651,0.0
652,0.0
653,0.0
654,0.011144203005645342
655,0.014792839238787667
656,0.006486557580147289
657,0.0
658,0.0
659,0.00013260902511686242
660,0.0
661,0.026412701155196852
662,0.0
663,0.01028174283985587
664,0.0061289650159518615
665,0.022006951540679144
666,0.002697476539875884
667,0.0
668,0.0
669,0.002621237896415586
670,0.0
671,0.0
672,0.0
673,0.0
674,0.0
675,0.0
676,0.0
677,0.0
678,0.020516411577038107
679,0.015271061190668837
680,0.0
681,0.004415762312594676
682,0.0
683,0.023220059699770316
684,0.013440664845920844
685,0.0033093141970627583
686,0.0
687,0.025459645012933095
688,0.0
689,0.0
690,0.004173645087809912
691,0.0
692,0.0039374979921187984
693,0.0014795788806725976
